question_id,question,evidence,difficulty,generation_time_formatted,generation_time_seconds
17,โรงเรียนจัดอันดับโดยคะแนนเฉลี่ยของพวกเขาเป็นลายลักษณ์อักษรซึ่งคะแนนมากกว่า 499 แสดงหมายเลขกฎบัตรของพวกเขา,หมายเลขกฎบัตรที่ถูกต้องหมายความว่าหมายเลขไม่เป็นโมฆะ,simple,20.21 วินาที,20.2136709690094
18,มีโรงเรียนกี่แห่งในเฟรสโน (ได้รับทุนโดยตรง) มีจำนวนผู้ทดสอบจำนวนไม่เกิน 250 คน?,,simple,23.83 วินาที,23.831117868423462
19,หมายเลขโทรศัพท์ของโรงเรียนที่มีคะแนนเฉลี่ยสูงสุดในวิชาคณิตศาสตร์คืออะไร?,,simple,16.62 วินาที,16.623692989349365
20,โรงเรียนใน Amador มีกี่โรงเรียนเกรดต่ำ 9 และเกรดสูงคือ 12?,,simple,19.37 วินาที,19.368918895721436
21,ในลอสแองเจลิสมีโรงเรียนกี่แห่งที่มีอาหารฟรีมากกว่า 500 มื้อ แต่น้อยกว่า 700 ฟรีหรือลดราคาอาหารสำหรับ K-12?,,simple,21.90 วินาที,21.902028799057007
22,โรงเรียนใดใน Contra Costa มีจำนวนผู้ทดสอบจำนวนมากที่สุด?,,simple,18.36 วินาที,18.36387610435486
23,แสดงชื่อของโรงเรียนที่มีความแตกต่างมากกว่า 30 รายการในการลงทะเบียนระหว่าง K-12 และอายุ 5-17 ปี? โปรดให้ที่อยู่ถนนเต็มของโรงเรียน,ความแตกต่างในการลงทะเบียน = `การลงทะเบียน (K-12)`-`การลงทะเบียน (อายุ 5-17)`,moderate,21.07 วินาที,21.072948932647705
24,"ให้ชื่อของโรงเรียนที่มีเปอร์เซ็นต์ที่มีสิทธิ์ได้รับอาหารฟรีใน K-12 มากกว่า 0.1 และผู้ทดสอบที่มีคะแนนการทดสอบมากกว่าหรือเท่ากับ 1,500?",เปอร์เซ็นต์ที่มีสิทธิ์ได้รับอาหารฟรี = จำนวนมื้ออาหารฟรี (K-12) / ทั้งหมด (การลงทะเบียน (K-12),moderate,24.06 วินาที,24.062037706375122
25,ชื่อโรงเรียนในริเวอร์ไซด์ซึ่งคะแนนคณิตศาสตร์เฉลี่ยเฉลี่ยสำหรับ SAT คือ Grater มากกว่า 400 ประเภทเงินทุนของโรงเรียนเหล่านี้คืออะไร?,ค่าเฉลี่ยของคณิตศาสตร์เฉลี่ย = ผลรวม (คะแนนคณิตศาสตร์เฉลี่ย) / นับ (โรงเรียน),moderate,19.08 วินาที,19.07715106010437
26,ระบุชื่อและที่อยู่การสื่อสารเต็มรูปแบบของโรงเรียนมัธยมในมอนเทอเรย์ซึ่งมีอาหารฟรีมากกว่า 800 หรือลดราคาอาหารสำหรับอายุ 15-17 ปี?,ที่อยู่การสื่อสารเต็มรูปแบบควรรวมถึงรหัสถนนเมืองรัฐและรหัสไปรษณีย์หากมี,moderate,36.06 วินาที,36.06286382675171
27,คะแนนเฉลี่ยเป็นลายลักษณ์อักษรสำหรับโรงเรียนที่เปิดหลังจากปี 1991 หรือปิดก่อนปี 2000? แสดงชื่อโรงเรียนพร้อมกับคะแนน นอกจากนี้แสดงรายการหมายเลขการสื่อสารของโรงเรียนหากมี,หมายเลขการสื่อสารหมายถึงหมายเลขโทรศัพท์,moderate,24.44 วินาที,24.44009494781494
28,พิจารณาความแตกต่างโดยเฉลี่ยระหว่างการลงทะเบียน K-12 และการลงทะเบียน 15-17 ของโรงเรียนที่ได้รับทุนในท้องถิ่นแสดงรายการชื่อและประเภทเอกสารของโรงเรียนที่มีความแตกต่างสูงกว่าค่าเฉลี่ยนี้,ความแตกต่างระหว่างการลงทะเบียน K-12 และการลงทะเบียน 15-17 สามารถคำนวณได้โดย `การลงทะเบียน (K-12)`-`การลงทะเบียน (อายุ 5-17)`,challenging,23.35 วินาที,23.346405029296875
29,โรงเรียนเกรดสองผ่านครั้งแรกที่มีการลงทะเบียนที่ใหญ่ที่สุดเปิด?,K-12 หมายถึงเกรดแรกผ่าน,simple,20.08 วินาที,20.07794189453125
30,เมืองใดที่มีหมายเลขการลงทะเบียนต่ำสุด 5 อันดับแรกสำหรับนักเรียนในเกรด 1 ถึง 12,K-12 หมายถึงนักเรียนในเกรด 1 ถึง 12,simple,18.56 วินาที,18.564023971557617
31,อัตราฟรีที่มีสิทธิ์ของโรงเรียนที่ 10 และ 11 ที่มีการลงทะเบียนสูงที่สุดสำหรับนักเรียนในเกรด 1 ถึง 12?,K-12 หมายถึงนักเรียนในเกรด 1 ถึง 12; อัตราฟรีที่มีสิทธิ์สำหรับ K-12 = `จำนวนอาหารฟรี (K-12)` / `การลงทะเบียน (K-12)`,moderate,19.87 วินาที,19.865076065063477
32,อัตราการรับประทานอาหารฟรีหรือลดราคาที่มีสิทธิ์สำหรับโรงเรียน 5 อันดับแรกในเกรด 1-12 ด้วยจำนวนอาหารฟรีสูงสุดหรือลดราคาของโรงเรียนที่มีรหัสการเป็นเจ้าของ 66?,เกรด 1-12 หมายถึง K-12; มีสิทธิ์ฟรีหรือลดราคาอาหารราคาสำหรับ k-12 = `จำนวน FRPM (K-12)` / `การลงทะเบียน (K-12)` `,moderate,20.49 วินาที,20.48842191696167
33,"หากมีใด ๆ เว็บไซต์ที่อยู่ของโรงเรียนที่มีจำนวนอาหารฟรี 1,900-2,000 สำหรับนักเรียนอายุ 5-17 ปี? รวมชื่อของโรงเรียน",,moderate,19.62 วินาที,19.623789072036743
34,อัตราฟรีสำหรับนักเรียนอายุระหว่าง 5 ถึง 17 ปีที่โรงเรียนดำเนินการโดย Kacey Gibson?,อัตราฟรีที่มีสิทธิ์สำหรับนักเรียนอายุ 5-17 = `จำนวนอาหารฟรี (อายุ 5-17)` / `การลงทะเบียน (อายุ 5-17)` `,moderate,19.18 วินาที,19.176599979400635
35,ที่อยู่อีเมลของผู้ดูแลระบบของโรงเรียน Chartered กับนักเรียนน้อยที่สุดที่ลงทะเบียนเรียนในเกรด 1 ถึง 12 คืออะไร?,โรงเรียนชาร์ตหมายถึง `โรงเรียนเช่าเหมาลำ (y/n)` = 1 ในตาราง frpm; นักเรียนที่ลงทะเบียนในเกรด 1 ถึง 12 หมายถึง `การลงทะเบียน (K-12)`,moderate,19.98 วินาที,19.975300788879395
36,"โรงเรียนที่มีนักเรียนมีจำนวนมากที่สุดที่ให้คะแนน 1,500 หรือมากกว่าใน SAT? ระบุชื่อเต็มของพวกเขา","ชื่อเต็มหมายถึงชื่อนามสกุล; มีผู้ดูแลระบบมากที่สุด 3 คนสำหรับแต่ละโรงเรียน คะแนน SAT สูงกว่าหรือเท่ากับ 1,500 หมายถึง numge1500",challenging,23.15 วินาที,23.148757219314575
37,ที่อยู่ที่สมบูรณ์ของโรงเรียนที่มีอัตราความเป็นเลิศต่ำที่สุดคืออะไร? ระบุถนนเมืองซิปและรัฐ,"อัตราการบริหาร = numge1500 / numtsttakr; ที่อยู่ที่สมบูรณ์มีถนน, เมือง, รัฐ, รหัสไปรษณีย์",moderate,22.92 วินาที,22.92300796508789
38,"เว็บเพจสำหรับโรงเรียนลอสแองเจลีสเคาน์ตี้ที่มีผู้ทดสอบระหว่าง 2,000 ถึง 3,000 คนคืออะไร?",,simple,19.31 วินาที,19.30811905860901
39,จำนวนผู้ทดสอบโดยเฉลี่ยจากโรงเรียนเฟรสโนที่เปิดระหว่าง 1/1/1980 ถึง 12/31/1980,ระหว่าง 1/1/1980 ถึง 12/31/1980 หมายถึงปี = 1980,simple,19.80 วินาที,19.803009033203125
40,หมายเลขโทรศัพท์สำหรับโรงเรียนที่มีคะแนนเฉลี่ยต่ำสุดในการอ่านใน Fresno Unified คืออะไร?,Fresno Unified เป็นชื่อของเขต,moderate,17.78 วินาที,17.781832933425903
41,แสดงชื่อของโรงเรียนเสมือนจริงที่อยู่ใน 5 อันดับแรกในมณฑลของตนตามคะแนนการอ่านเฉลี่ย,เสมือนจริงโดยเฉพาะหมายถึง virtual = 'f'; มณฑลที่เกี่ยวข้องหมายถึงพาร์ติชันโดยเคาน์ตี้,simple,19.25 วินาที,19.252193927764893
42,ประเภทของการศึกษาที่เสนอในโรงเรียนที่ทำคะแนนเฉลี่ยสูงสุดในวิชาคณิตศาสตร์คืออะไร?,,simple,17.70 วินาที,17.6992027759552
43,คะแนนคณิตศาสตร์เฉลี่ยของโรงเรียนที่มีคะแนนเฉลี่ยต่ำสุดสำหรับทุกวิชาคืออะไรและตั้งอยู่ในเขตใด,คะแนนเฉลี่ยสำหรับทุกวิชาสามารถคำนวณได้โดย avgscrmath + avgscrread + avgscrwrite,moderate,22.86 วินาที,22.856645822525024
44,"คะแนนการเขียนโดยเฉลี่ยของโรงเรียนที่มีจำนวนผู้ทดสอบจำนวนมากที่สุดซึ่งมีคะแนนรวม SAT ทั้งหมดหรือเท่ากับ 1,500? ระบุเมืองถึงสถานที่ตั้งของโรงเรียน",,simple,22.63 วินาที,22.633657693862915
45,คะแนนการเขียนเฉลี่ยของแต่ละโรงเรียนที่จัดการโดย Ricci Ulrich คืออะไร? แสดงรายการโรงเรียนและคะแนนการเขียนเฉลี่ยที่สอดคล้องกัน,โดยปกติผู้ดูแลระบบจะจัดการเรื่องโรงเรียน,moderate,23.57 วินาที,23.574882984161377
46,โรงเรียนพิเศษของรัฐใดที่มีผู้ลงทะเบียนจำนวนมากที่สุดจากเกรด 1 ถึง 12,โรงเรียนพิเศษของรัฐหมายถึง DOC = 31; เกรด 1 ถึง 12 หมายถึง K-12,simple,18.12 วินาที,18.120133876800537
47,จำนวนโรงเรียนเฉลี่ยรายเดือนที่เปิดใน Alameda County ภายใต้เขตอำนาจศาลของเขตโรงเรียนประถมในปี 1980?,เขตโรงเรียนประถมหมายถึง DOC = 52; จำนวนโรงเรียนเฉลี่ยรายเดือนที่เปิดในปี 1980 = นับ (โรงเรียนที่เปิดในปี 1980) / 12,moderate,22.29 วินาที,22.289987087249756
48,อัตราส่วนของโรงเรียนเขตโรงเรียนรวมที่รวมกันในออเรนจ์เคาน์ตี้ต่อโรงเรียนโรงเรียนประถมศึกษารวมกัน?,เขตโรงเรียนประถมหมายถึง DOC = 52; Unified School District หมายถึง DOC = 54,moderate,24.70 วินาที,24.701306343078613
49,มณฑลใดที่มีโรงเรียนปิดจำนวนมากที่สุด? โปรดระบุชื่อของแต่ละโรงเรียนรวมถึงวันปิด,วันที่ปิดและวันที่ปิดเป็นคำพ้องความหมาย; 'ปิด' ถูกกล่าวถึงในโรงเรียน statustype,moderate,22.37 วินาที,22.365086793899536
50,ที่อยู่ไปรษณีย์ถนนสำหรับโรงเรียนที่มีค่าเฉลี่ยคณิตศาสตร์สูงสุดอันดับ 7 คืออะไร? ระบุชื่อของโรงเรียน,Postal Street และ Mailing Street เป็นคำพ้องความหมาย,simple,16.63 วินาที,16.633382320404053
51,คุณสามารถค้นหาโรงเรียนที่มีคะแนนเฉลี่ยต่ำที่สุดในการอ่านได้หรือไม่ ยังให้ชื่อโรงเรียนด้วย,,simple,17.66 วินาที,17.660176992416382
52,"จำนวนโรงเรียนทั้งหมดที่มีคะแนน SAT รวมมากกว่าหรือเท่ากับ 1,500 แห่งซึ่งมีเมืองทางไปรษณีย์คือ Lakeport คืออะไร?",คะแนน SAT ทั้งหมดสามารถคำนวณได้โดย avgscrread + avgscrmath + avgscrwrite,simple,19.78 วินาที,19.778261184692383
53,ที่โรงเรียนมีกี่คนที่มีการทดสอบที่อยู่ทางไปรษณีย์ในเมืองเฟรสโน?,,simple,16.36 วินาที,16.356229782104492
54,โปรดระบุโรงเรียนทั้งหมดและรหัสไปรษณีย์ที่เกี่ยวข้องที่เกี่ยวข้องซึ่งอยู่ภายใต้การบริหารของ Avetik Atoian,,simple,17.63 วินาที,17.629106044769287
55,ของโรงเรียนที่มีที่อยู่ทางไปรษณีย์ในแคลิฟอร์เนียอัตราส่วนของโรงเรียนตั้งอยู่ในเขตโคลูซากับโรงเรียนที่ตั้งอยู่ในเขตฮัมโบลต์คืออะไร?,อัตราส่วน = นับ (โรงเรียนในโคลูซา) / นับ (โรงเรียนใน Humboldt),moderate,24.07 วินาที,24.068961143493652
56,จากโรงเรียนทั้งหมดที่มีที่อยู่ทางไปรษณีย์ในแคลิฟอร์เนียมีกี่คนที่ทำงานอยู่ในเมืองซานโจอาคิน?,,simple,18.17 วินาที,18.171292781829834
57,หมายเลขโทรศัพท์และหมายเลขขยายสำหรับโรงเรียนที่มีคะแนนการเขียนเฉลี่ยสูงสุด 333,,simple,19.45 วินาที,19.454108953475952
58,หมายเลขโทรศัพท์และหมายเลขขยายสำหรับโรงเรียนที่มีรหัสไปรษณีย์ 95203-3704 คืออะไร? ระบุชื่อของโรงเรียน,,simple,18.95 วินาที,18.951056003570557
59,เว็บไซต์สำหรับโรงเรียนภายใต้การบริหารของ Mike Larson และ Dante Alvarez คืออะไร?,,simple,17.23 วินาที,17.232181072235107
60,เว็บไซต์สำหรับโรงเรียนเช่าเหมาลำเสมือนจริงบางส่วนตั้งอยู่ใน San Joaquin คืออะไร?,Virtual = 'P' หมายถึงเสมือนบางส่วน; โรงเรียนเช่าเหมาลำหมายถึงกฎบัตร = 1 ในโรงเรียนโต๊ะ,simple,18.69 วินาที,18.68936586380005
61,โรงเรียนเช่าเหมาลำตั้งอยู่กี่แห่งในเมืองฮิคแมนเป็นเจ้าของโดยโรงเรียนประถมศึกษา?,เขตโรงเรียนประถมหมายถึง DOC = 52; โรงเรียนเช่าเหมาลำอ้างถึงกฎบัตร = 1 ในโรงเรียนโต๊ะ,simple,18.64 วินาที,18.64323115348816
62,จำนวนโรงเรียนที่ไม่ได้รับอนุญาตทั้งหมดในเขตลอสแองเจลิสมีจำนวนอาหารฟรี (%) ของอาหารฟรีสำหรับเกรด 1 ถึง 12 เปอร์เซ็นต์ที่น้อยกว่า 0.18%?,โรงเรียนที่ไม่ได้รับอนุญาตอ้างถึงโรงเรียนที่มีกฎบัตร = 0; K-12 หมายถึงเกรด 1 ถึง 12; เปอร์เซ็นต์ของอัตราฟรีที่มีสิทธิ์สำหรับ K-12 = `จำนวนมื้ออาหารฟรี (K-12)` * 100 / `การลงทะเบียน (K-12)`,challenging,21.35 วินาที,21.354392051696777
63,ในโรงเรียนเช่าเหมาลำที่มีหมายเลขเช่าเหมาลำ 00D2 ชื่อของผู้ดูแลระบบทั้งหมดคืออะไร? รวมชื่อของโรงเรียนและเมืองที่เป็นของมัน,โรงเรียนเช่าเหมาลำอ้างถึงกฎบัตร = 1 ในโรงเรียนโต๊ะ; ชื่อเต็มหมายถึงชื่อนามสกุล,simple,19.62 วินาที,19.61750292778015
64,จำนวนโรงเรียนทั้งหมดที่มีเมืองส่งจดหมายใน Hickman เป็นของหมายเลขเช่าเหมาลำ 00D4?,,simple,19.04 วินาที,19.041148900985718
65,อัตราส่วนในร้อยละของโรงเรียนซานตาคลาร่าเคาน์ตี้ที่ได้รับทุนในท้องถิ่นเมื่อเทียบกับเงินทุนโรงเรียนประเภทอื่น ๆ ทั้งหมด?,อัตราส่วนในเปอร์เซ็นต์ = (นับ (โรงเรียนที่ได้รับทุนสนับสนุนในซานตาคลาร่า) / นับ (โรงเรียนประเภทเงินทุนทั้งหมดในซานตาคลาร่า) * 100%,moderate,25.40 วินาที,25.39651393890381
66,ระหว่าง 1/1/2000 ถึง 12/31/2005 โรงเรียนที่ได้รับการสนับสนุนโดยตรงจาก County of Stanislaus,โรงเรียนที่ได้รับการสนับสนุนโดยตรงหมายถึง FundingType = 'ได้รับการสนับสนุนโดยตรง',simple,18.84 วินาที,18.835953950881958
67,การปิดเขตวิทยาลัยชุมชนจำนวนเท่าใดในปี 1989 ในเมืองซานฟรานซิสโก?,,simple,18.80 วินาที,18.795994997024536
68,เขตใดรายงานการปิดโรงเรียนจำนวนมากที่สุดในช่วงปี 1980 ด้วยรหัสการเป็นผู้ชนะของโรงเรียนซึ่งเป็นของหน่วยงานเยาวชน (CEA)?,สิ่งอำนวยความสะดวกของเยาวชน (CEA) หมายถึง SOC = 11; 1980s = ปีระหว่างปี 1980 และ 1989,moderate,23.21 วินาที,23.208854913711548
69,โปรดจัดให้มีศูนย์การศึกษาสถิติการศึกษาระดับชาติสำหรับโรงเรียนทุกแห่งสำหรับโรงเรียนทุกแห่งที่มีรหัสความเป็นเจ้าของโรงเรียนซึ่งเป็นส่วนหนึ่งของโรงเรียนพิเศษของรัฐ,โรงเรียนพิเศษของรัฐหมายความว่า SOC = 31,simple,20.54 วินาที,20.543587684631348
70,มีโรงเรียนชุมชนเขตชุมชนที่ใช้งานอยู่และปิดอยู่ในเขตอัลไพน์กี่แห่ง?,,simple,18.16 วินาที,18.159873008728027
71,รหัสเขตสำหรับโรงเรียนที่ไม่ได้เสนอโปรแกรมแม่เหล็กในเมืองเฟรสโนคืออะไร?,เมื่อ Magent เท่ากับ 0 ในฐานข้อมูลนั่นหมายความว่าโรงเรียน THS ไม่ได้เสนอโปรแกรมแม่เหล็ก,simple,19.92 วินาที,19.921170949935913
72,มีนักเรียนกี่คนตั้งแต่อายุ 5 ถึง 17 ปีที่โรงเรียนโรงเรียนพิเศษแห่งรัฐในฟรีมอนต์ในปีการศึกษา 2557-2558,โรงเรียนพิเศษของรัฐหมายถึง EdopScode = 'SSS',moderate,22.71 วินาที,22.706815004348755
73,ราคาอาหารราคาฟรีหรือลดลงสำหรับอายุ 5 ถึง 17 ปีในโรงเรียนผู้มีอำนาจเยาวชนที่มีที่อยู่ทางไปรษณีย์ของ PO Box 1040?,,simple,17.09 วินาที,17.09495186805725
74,เกรดต่ำสุดสำหรับโรงเรียนการศึกษาพิเศษเขตการศึกษาระดับชาติกับศูนย์สถิติการศึกษาแห่งชาติหมายเลขประจำตัวโรงเรียนที่ 0613360 คืออะไร?,โรงเรียนการศึกษาพิเศษเขตการศึกษา Consortia หมายถึง EdopScode = 'Specon',moderate,20.01 วินาที,20.007984161376953
75,ชื่อระดับการศึกษาสำหรับโรงเรียนที่มีการจัดเตรียมอาหารเช้า 2 ในรหัสมณฑล 37? ระบุชื่อของโรงเรียน,,simple,19.23 วินาที,19.23118495941162
76,สถานที่ตั้งของเมืองโรงเรียนมัธยมระดับมัธยมศึกษาตอนกลางวัน 2 ซึ่งมีเกรดต่ำสุดคือ 9 และเกรดสูงสุดคือ 12 ในเขต Merced?,โรงเรียนมัธยมสามารถแสดงเป็น eilcode = 'hs',moderate,18.63 วินาที,18.62648582458496
77,โรงเรียนใดที่ให้บริการระดับอนุบาลเกรดถึงเกรด 9 ในเขตลอสแองเจลิสและเปอร์เซ็นต์ FRPM ที่มีสิทธิ์ (อายุ 5-17 ปี) คืออะไร?,เปอร์เซ็นต์ (%) FRPM ที่มีสิทธิ์ (อายุ 5-17 ปี) สามารถซื้อได้โดย `จำนวน FRPM (อายุ 5-17)` / `การลงทะเบียน (อายุ 5-17)` * 100,moderate,22.87 วินาที,22.86898684501648
78,ระดับเกรดที่พบบ่อยที่สุดที่เสิร์ฟในเมืองอาเดลีนโตคืออะไร?,,simple,19.74 วินาที,19.742979049682617
79,ระหว่างซานดิเอโกกับซานตาบาร์บาร่าเขตใดที่เสนอโรงเรียนจำนวนมากที่สุดที่ไม่ได้มีการสร้างทางกายภาพ? ระบุจำนวนเงิน,'ไม่ได้เสนอการสร้างทางกายภาพ' หมายถึง virtual = f ในฐานข้อมูล,moderate,19.20 วินาที,19.20386791229248
80,โรงเรียนประเภทของโรงเรียนที่มีละติจูดสูงที่สุดคืออะไร? ระบุชื่อของโรงเรียนเช่นเดียวกับพิกัดละติจูด,,simple,17.05 วินาที,17.04600501060486
81,คุณสามารถหาโรงเรียนในรัฐในรัฐแคลิฟอร์เนียด้วยพิกัดละติจูดต่ำสุดและเกรดต่ำสุดคืออะไร? ระบุชื่อโรงเรียน,State of California หมายถึง State = 'CA',moderate,20.98 วินาที,20.978236198425293
82,ช่วงเกรดที่นำเสนอในโรงเรียนมีลองจิจูดสูงสุดคืออะไร?,ลองจิจูดสูงสุดหมายถึงโรงเรียนที่มีค่าลองจิจูดสูงสุด,simple,16.96 วินาที,16.961974143981934
83,ของโรงเรียนที่เสนอโปรแกรมแม่เหล็กที่ให้บริการระดับอนุบาลถึงเกรด 8 มีกี่ประเภทที่มีหลายประเภท? แสดงรายการจำนวนเมืองที่มีโรงเรียนอนุบาลถึงชั้นประถมศึกษาปีที่ 8 และระบุว่ามีโรงเรียนกี่แห่งที่ให้บริการช่วงเกรดดังกล่าวสำหรับแต่ละเมือง,โรงเรียนอนุบาลถึงเกรด 8 หมายถึง K-8; 'ข้อเสนอโปรแกรมแม่เหล็ก' หมายถึงแม่เหล็ก = 1; ประเภทบทบัญญัติหลายประเภทหมายถึง `สถานะบทบัญญัติ NSLP '=' ประเภทบทบัญญัติหลายประเภท ',challenging,19.09 วินาที,19.09092402458191
84,ชื่อแรกที่พบบ่อยที่สุดสองชื่อในหมู่ผู้บริหารโรงเรียนคืออะไร? ระบุเขตที่พวกเขาจัดการ,,simple,18.98 วินาที,18.98469614982605
85,เปอร์เซ็นต์ (%) มีสิทธิ์ฟรี (K-12) ในโรงเรียนที่บริหารโดยผู้ดูแลระบบที่มีชื่อแรกคือ Alusine แสดงรายการรหัสอำเภอของโรงเรียน,เปอร์เซ็นต์ (%) มีสิทธิ์ฟรี (K-12) = `จำนวนอาหารฟรี (K-12)` / `การลงทะเบียน (K-12)` * 100%,moderate,18.06 วินาที,18.056320905685425
86,นามสกุลของผู้ดูแลระบบที่ดูแลโรงเรียนด้วยกฎบัตรหมายเลข 40 คืออะไร? ระบุเขตเขตที่โรงเรียนตั้งอยู่และชื่อของโรงเรียน,,simple,17.15 วินาที,17.149690866470337
87,ที่อยู่อีเมลที่ถูกต้องของผู้ดูแลระบบของโรงเรียนตั้งอยู่ในเขตซานเบอร์นาดิโนเมืองซานเบอร์นาดิโนซิตี้รวมกันซึ่งเปิดระหว่าง 1/1/2552 ถึง 12/31/2010,โรงเรียนระดับกลาง/กลางหมายถึง SOC = 62; โรงเรียนรวมหมายถึง DOC = 54; ปีระหว่างปี 2009 ถึง 2010 สามารถอ้างถึง 'ระหว่าง 1/1/2552 ถึง 12/31/2010',challenging,24.31 วินาที,24.30852699279785
88,"ที่อยู่อีเมลของผู้ดูแลระบบสำหรับโรงเรียนที่มีจำนวนผู้ทดสอบจำนวนมากที่สุดที่ได้รับคะแนน SAT อย่างน้อย 1,500 คนระบุชื่อของโรงเรียน",,simple,22.60 วินาที,22.595537185668945
89,มีกี่บัญชีที่เลือกการออกหลังจากการทำธุรกรรมอยู่ในภูมิภาคโบฮีเมียตะวันออก?,A3 มีข้อมูลของภูมิภาค 'POPLEDK PO OBRATU' หมายถึง 'การออกหลังจากการทำธุรกรรม',moderate,19.57 วินาที,19.566899061203003
90,มีกี่บัญชีที่มีภูมิภาคในปรากที่มีสิทธิ์ได้รับสินเชื่อ?,A3 มีข้อมูลของภูมิภาค,simple,16.00 วินาที,15.997379779815674
