question_num,question,generation_time_formatted,generation_time_seconds
78,ค้นหารหัสสัตว์เลี้ยงของนักเรียนที่มีนามสกุล 'Smith',4.27 วินาที,4.269438028335571
79,รหัสของสัตว์เลี้ยงของนักเรียนที่มีนามสกุล 'สมิธ' คืออะไร?,4.25 วินาที,4.250868320465088
80,ค้นหาจำนวนสัตว์เลี้ยงของนักเรียนแต่ละคนที่มีสัตว์เลี้ยงและรหัสนักเรียน,2.88 วินาที,2.8806469440460205
81,สำหรับนักเรียนที่มีสัตว์เลี้ยง นักเรียนแต่ละคนมีสัตว์เลี้ยงกี่ตัว ? แสดงรายการรหัสแทนชื่อ,3.75 วินาที,3.7506213188171387
82,ค้นหาชื่อและเพศของนักเรียนที่มีสัตว์เลี้ยงมากกว่าหนึ่งตัว,5.52 วินาที,5.523847818374634
83,ชื่อและเพศของนักเรียนทุกคนที่มีสัตว์เลี้ยงมากกว่าหนึ่งตัวคืออะไร?,5.51 วินาที,5.507789134979248
84,ค้นหานามสกุลของนักเรียนที่มีแมวอายุ 3 ปี,6.65 วินาที,6.654892206192017
85,นามสกุลของนักเรียนที่มีแมวอายุ 3 ปีคืออะไร?,6.64 วินาที,6.642736911773682
86,จงหาอายุเฉลี่ยของนักเรียนที่ไม่มีสัตว์เลี้ยง,5.92 วินาที,5.92480993270874
87,อายุเฉลี่ยของนักเรียนทุกคนที่ไม่มีสัตว์เลี้ยงคือเท่าไร ?,3.88 วินาที,3.8818631172180176
88,มีกี่ทวีป?,3.31 วินาที,3.3112218379974365
89,มีจำนวนทวีปเท่าไร?,1.67 วินาที,1.6666009426116943
90,แต่ละทวีปมีกี่ประเทศ? ระบุรหัสทวีป ชื่อทวีป และจำนวนประเทศ,7.73 วินาที,7.732546091079712
91,สำหรับแต่ละทวีป ให้ระบุรหัส ชื่อ และจำนวนประเทศที่มีอยู่,8.18 วินาที,8.180063962936401
92,มีรายชื่อกี่ประเทศ?,1.65 วินาที,1.6521480083465576
93,มีกี่ประเทศ?,1.65 วินาที,1.6464147567749023
94,ผู้ผลิตรถยนต์แต่ละรายผลิตรถยนต์ได้กี่รุ่น? ผู้สร้างรายการชื่อเต็ม ID และหมายเลข,7.68 วินาที,7.681398153305054
95,ผู้ผลิตรถยนต์แต่ละรายชื่อเต็มว่าอะไร พร้อมด้วยรหัส และผลิตรถยนต์จำนวนกี่รุ่น,6.07 วินาที,6.068196773529053
96,รถรุ่นไหนมีแรงม้าขั้นต่ำ?,4.00 วินาที,3.997863292694092
97,รถรุ่นอะไรที่มีแรงม้าน้อยที่สุดคือรุ่นอะไรครับ?,4.01 วินาที,4.009054899215698
98,ค้นหารุ่นรถที่มีน้ำหนักต่ำกว่าน้ำหนักเฉลี่ย,3.76 วินาที,3.7631239891052246
99,รถที่มีน้ำหนักน้อยกว่าค่าเฉลี่ยคือรุ่นอะไร?,6.10 วินาที,6.103015899658203
100,หาชื่อผู้ผลิตที่ผลิตรถยนต์บางคันในปี 1970 บ้างไหม?,10.31 วินาที,10.310972213745117
101,ผู้ผลิตรถยนต์รายต่างๆ ที่ผลิตรถยนต์ในปี 1970 ชื่ออะไร,6.91 วินาที,6.9112708568573
102,ค้นหายี่ห้อและเวลาการผลิตของรถยนต์ที่ผลิตในปีแรกสุดหรือไม่?,3.86 วินาที,3.864253044128418
103,รถคาร์ที่ผลิตในปีแรกสุดคือผู้ผลิตอะไร และปีไหน?,4.82 วินาที,4.824074029922485
104,รถยนต์รุ่นใดบ้างที่ผลิตหลังปี 1980?,4.42 วินาที,4.418880939483643
105,การ์ดที่ผลิตหลังปี 1980 มีรุ่นอะไรบ้าง?,5.69 วินาที,5.686677694320679
106,แต่ละทวีปมีผู้ผลิตรถยนต์กี่ราย? ระบุชื่อทวีปและจำนวน,7.92 วินาที,7.9248130321502686
107,แต่ละทวีปชื่ออะไร และแต่ละทวีปมีผู้ผลิตรถยนต์กี่ราย?,8.34 วินาที,8.336638927459717
108,ประเทศใดมีผู้ผลิตรถยนต์มากที่สุด? รายชื่อประเทศ.,4.66 วินาที,4.662658214569092
109,ประเทศที่มีผู้ผลิตรถยนต์มากที่สุดชื่ออะไร?,4.59 วินาที,4.586068868637085
110,แต่ละผู้ผลิตผลิตรถยนต์ได้กี่รุ่น ? ระบุเฉพาะจำนวนและชื่อเต็มของผู้สร้างเท่านั้น,3.02 วินาที,3.024434804916382
111,แต่ละค่ายผลิตรถยนต์จำนวนกี่รุ่น และรหัสและชื่อเต็มของแต่ละค่ายคือเท่าไร?,8.90 วินาที,8.895010948181152
112,รถยี่ห้อ amc Hornet sportabout (sw) มีอัตราเร่งเท่าไร?,4.44 วินาที,4.436210870742798
113,รถที่ทำให้ amc Hornet sportabout (sw) มีอัตราเร่งเท่าไร?,4.28 วินาที,4.281554937362671
114,ฝรั่งเศสมีผู้ผลิตรถยนต์กี่ราย?,3.31 วินาที,3.3149020671844482
115,จำนวนผู้ผลิตการดูแลในฝรั่งเศสคือเท่าไร?,2.75 วินาที,2.7494170665740967
116,รถยนต์ที่ผลิตในอเมริกามีกี่รุ่น?,4.47 วินาที,4.473838806152344
117,รถยนต์ที่ผลิตในอเมริกามีกี่รุ่น?,3.76 วินาที,3.7586309909820557
118,รถ 4 สูบใช้ระยะทางเฉลี่ยต่อแกลลอน (mpg) เท่าไร?,3.31 วินาที,3.3138198852539062
119,อัตราไมล์เฉลี่ยต่อแกลลอนของการ์ดทั้งหมดที่มี 4 สูบคือเท่าไร?,3.86 วินาที,3.8635871410369873
120,รถ 8 สูบที่มีน้ำหนักน้อยที่สุดในปี 1974 คือเท่าใด?,4.69 วินาที,4.694470167160034
121,รถ 8 สูบที่ผลิตในปี 1974 มีน้ำหนักขั้นต่ำเท่าไหร่?,4.67 วินาที,4.66709303855896
122,ผู้ผลิตและรุ่นทั้งหมดมีอะไรบ้าง?,2.47 วินาที,2.4738941192626953
123,มีผู้ผลิตและรุ่นอะไรบ้าง?,2.29 วินาที,2.2904319763183594
124,ประเทศใดบ้างที่มีผู้ผลิตรถยนต์อย่างน้อยหนึ่งราย ชื่อรายการและรหัส,5.44 วินาที,5.4365129470825195
125,ชื่อและรหัสของทุกประเทศที่มีผู้ผลิตรถยนต์อย่างน้อยหนึ่งรายคืออะไร,3.75 วินาที,3.7453248500823975
126,รถที่มีแรงม้าเกิน 150 มีกี่คัน?,3.02 วินาที,3.015366792678833
127,รถยนต์ที่มีแรงม้าเกิน 150 มีกี่คัน?,3.05 วินาที,3.0548558235168457
128,น้ำหนักเฉลี่ยของรถยนต์ในแต่ละปีคือเท่าไร?,2.62 วินาที,2.622490167617798
129,น้ำหนักเฉลี่ยและปีต่อปีคือเท่าไร?,2.74 วินาที,2.7366089820861816
130,ประเทศใดในยุโรปที่มีผู้ผลิตรถยนต์อย่างน้อย 3 ราย,7.75 วินาที,7.750926971435547
131,ประเทศในยุโรปทั้งหมดที่มีผู้ผลิตอย่างน้อย 3 รายชื่ออะไร,8.72 วินาที,8.718987226486206
132,แรงม้าสูงสุดและยี่ห้อของรถยนต์รุ่น 3 สูบคือเท่าไร?,3.73 วินาที,3.733376979827881
133,แรงม้าสูงสุดสำหรับรุ่น 3 สูบ คือเท่าไร และยี่ห้ออะไร?,4.15 วินาที,4.146553039550781
134,รุ่นไหนประหยัดน้ำมันมากที่สุด? กล่าวคือ มีไมล์สูงสุดต่อแกลลอน,2.76 วินาที,2.7629759311676025
135,รถรุ่นอะไร MPG สูงที่สุด ?,3.84 วินาที,3.8420569896698
136,แรงม้าเฉลี่ยของรถยนต์ก่อนปี 1980 เป็นเท่าใด?,3.57 วินาที,3.5736870765686035
137,แรงม้าเฉลี่ยของรถยนต์ทุกคันที่ผลิตก่อนปี 1980 เป็นเท่าใด ?,3.60 วินาที,3.595876693725586
138,ค่าเฉลี่ยของรถยนต์รุ่น volvo คือเท่าไร?,3.17 วินาที,3.1708250045776367
139,ราคาเฉลี่ยของวอลโว่ทุกรุ่นคือเท่าไร?,3.18 วินาที,3.179311752319336
140,อัตราเร่งสูงสุดสำหรับจำนวนกระบอกสูบต่างกันคือเท่าใด,2.91 วินาที,2.9127590656280518
141,อัตราเร่งสูงสุดสำหรับกระบอกสูบต่างๆ ทั้งหมดคือเท่าใด?,2.85 วินาที,2.8529059886932373
142,รถยนต์รุ่นใดมีรุ่น(ยี่ห้อ) มากที่สุด?,3.33 วินาที,3.3289990425109863
143,รุ่นใดมีรุ่นที่แตกต่างกันมากที่สุด?,3.32 วินาที,3.3217127323150635
144,มีรถกี่คันที่มีมากกว่า 4 สูบ?,2.75 วินาที,2.7511258125305176
145,รถที่มีมากกว่า 4 สูบมีกี่คัน?,2.80 วินาที,2.8037338256835938
146,มีรถยนต์กี่คันที่ผลิตในปี 1980?,3.03 วินาที,3.0334200859069824
147,ในปี 1980 มีการผลิตรถยนต์จำนวนกี่คัน?,3.06 วินาที,3.05521297454834
148,ผู้ผลิตรถยนต์ที่มีชื่อเต็มว่า American Motor Company ผลิตรถยนต์ได้กี่รุ่น?,4.95 วินาที,4.947812080383301
149,ผู้ผลิตรถยนต์ American Motor Company ผลิตรถยนต์จำนวนเท่าใด,3.58 วินาที,3.5759618282318115
150,ผู้ผลิตรายไหนออกแบบรถมากกว่า 3 รุ่น? รายชื่อเต็มและรหัส,5.88 วินาที,5.878835201263428
151,ชื่อและรหัสของผู้ผลิตทั้งหมดที่มีมากกว่า 3 รุ่นคืออะไร?,5.64 วินาที,5.6355578899383545
152,"รุ่นที่โดดเด่นใดบ้างที่ผลิตโดยผู้ผลิตที่มีชื่อเต็มว่า General Motors หรือมีน้ำหนักมากกว่า 3,500?",10.16 วินาที,10.15796685218811
153,"อะไรคือรุ่นที่แตกต่างกันที่สร้างโดยผู้ผลิตรถยนต์ General Motors หรือมีน้ำหนักมากกว่า 3,500?",17.67 วินาที,17.665340185165405
154,"ในปีใดมีการผลิตรถยนต์ที่มีน้ำหนักไม่ต่ำกว่า 3,000 คัน และไม่เกิน 4,000 คัน ?",4.31 วินาที,4.307353973388672
155,"ปีใดบ้างที่มีรถยนต์ที่ผลิตซึ่งมีน้ำหนักน้อยกว่า 4,000 คัน และรถยนต์ที่มีน้ำหนักมากกว่า 3,000 คันด้วย?",4.48 วินาที,4.482233762741089
156,แรงม้าของรถที่มีอัตราเร่งสูงสุดคือเท่าไหร่?,3.03 วินาที,3.0348448753356934
157,แรงม้าของรถที่มีอัตราเร่งสูงสุดเป็นเท่าใด?,3.00 วินาที,3.0016181468963623
158,สำหรับรุ่นวอลโว่ รถที่มีอัตราเร่งน้อยที่สุดมีกี่กระบอกสูบ?,4.25 วินาที,4.249760150909424
159,สำหรับรุ่นวอลโว่ รุ่นที่มีอัตราเร่งน้อยที่สุดมีกี่กระบอกสูบ?,3.88 วินาที,3.8773367404937744
160,มีรถยนต์กี่คันที่มีอัตราเร่งมากกว่ารถที่มีแรงม้ามากที่สุด?,4.16 วินาที,4.1565258502960205
161,รถที่มีอัตราเร่งมากกว่ารถที่มีแรงม้าสูงสุดมีกี่คัน?,4.56 วินาที,4.562304973602295
162,มีกี่ประเทศที่มีผู้ผลิตรถยนต์มากกว่า 2 ราย?,5.17 วินาที,5.171828985214233
163,จำนวนประเทศที่มีผู้ผลิตรถยนต์มากกว่า 2 รายคือเท่าใด,3.73 วินาที,3.727362871170044
164,มีรถกี่คันที่มีมากกว่า 6 สูบ?,2.77 วินาที,2.7665858268737793
165,จำนวนรถยนต์ที่มีมากกว่า 6 สูบเป็นเท่าใด?,3.05 วินาที,3.0540971755981445
166,สำหรับรถยนต์ที่มี 4 สูบ รุ่นไหนมีแรงม้ามากที่สุด?,7.74 วินาที,7.742768049240112
167,สำหรับรถยนต์ 4 สูบทั้งหมด รุ่นไหนมีแรงม้ามากที่สุด?,7.59 วินาที,7.586966037750244
168,ในบรรดารถที่มีแรงม้ามากกว่าต่ำสุด คันไหนมีไม่เกิน 3 สูบ? ระบุยี่ห้อรถและชื่อ,10.43 วินาที,10.425434827804565
169,ในบรรดารถที่ไม่มีแรงม้าขั้นต่ำ มียี่ห้อและชื่อรถที่มีเครื่องยนต์น้อยกว่า 4 สูบอะไรบ้าง ?,8.86 วินาที,8.85817003250122
170,รถ 8 สูบ หรือผลิตก่อนปี 1980 วิ่งได้กี่ไมล์ต่อแกลลอน ?,4.69 วินาที,4.693688869476318
171,mpg สูงสุดของรถยนต์ที่มี 8 กระบอกสูบหรือที่ผลิตก่อนปี 1980 คือเท่าใด,4.67 วินาที,4.668997049331665
172,รุ่นไหนเบากว่า 3500 แต่ไม่ได้สร้างโดย 'บริษัท Ford Motor'?,8.89 วินาที,8.89477801322937
173,รุ่นต่างๆ ที่เบากว่า 3500 แต่ไม่ได้ผลิตโดย Ford Motor Company มีอะไรบ้าง,8.96 วินาที,8.955682039260864
174,ประเทศที่ไม่มีผู้ผลิตรถยนต์รายเดียวชื่ออะไร?,3.44 วินาที,3.4427530765533447
175,ประเทศที่ไม่มีผู้ผลิตรถยนต์ชื่ออะไร,3.71 วินาที,3.712584972381592
176,ผู้ผลิตรถยนต์รายใดที่ผลิตรถยนต์อย่างน้อย 2 รุ่นและมากกว่า 3 ผู้ผลิตรถยนต์คือบริษัทใด ? ระบุ id และผู้สร้าง,10.40 วินาที,10.396753787994385
177,รหัสและผู้ผลิตของผู้ผลิตรถยนต์ทั้งหมดที่ผลิตอย่างน้อย 2 รุ่นและผลิตรถยนต์มากกว่า 3 คันคืออะไร,8.37 วินาที,8.37178373336792
178,ID และชื่อของประเทศที่มีผู้ผลิตรถยนต์มากกว่า 3 รายหรือผลิตรุ่น 'Fiat' คืออะไร?,8.72 วินาที,8.721122026443481
179,รหัสและชื่อของทุกประเทศที่มีผู้ผลิตรถยนต์มากกว่า 3 รายหรือผลิตรุ่น fiat คืออะไร,7.46 วินาที,7.455002069473267
180,"สายการบิน ""เจ็ทบลูแอร์เวย์"" อยู่ในประเทศใด?",4.42 วินาที,4.417317152023315
181,Jetblue Airways อยู่ในเครือของประเทศใด?,2.65 วินาที,2.650536060333252
182,สายการบิน JetBlue Airways อักษรย่อว่าอะไร?,2.75 วินาที,2.7498278617858887
183,ชื่อย่อใดตรงกับ Jetblue Airways?,2.78 วินาที,2.7773711681365967
184,"ระบุชื่อสายการบินและตัวย่อทั้งหมดใน ""USA""",2.75 วินาที,2.7467939853668213
185,ชื่อสายการบินและตัวย่อของสายการบินในสหรัฐอเมริกาคืออะไร,2.90 วินาที,2.901663064956665
186,ระบุรหัสสนามบินและชื่อในเมือง Anthony,2.75 วินาที,2.7486729621887207
187,ระบุรหัสสนามบินและชื่อสนามบินที่ตรงกับเมืองแอนโธนี,2.88 วินาที,2.8800570964813232
188,เรามีสายการบินกี่สาย?,1.65 วินาที,1.6458740234375
189,มีสายการบินทั้งหมดกี่สายการบิน?,1.64 วินาที,1.6352159976959229
190,เรามีสนามบินกี่แห่ง?,1.64 วินาที,1.63826584815979
191,ส่งกลับจำนวนสนามบิน,1.64 วินาที,1.6388418674468994
192,เรามีเที่ยวบินกี่เที่ยว?,1.64 วินาที,1.6428489685058594
193,กลับจำนวนเที่ยวบิน,1.62 วินาที,1.621131181716919
194,สายการบินใดมีอักษรย่อ 'UAL'?,2.48 วินาที,2.48130202293396
195,ให้สายการบินใช้อักษรย่อ 'UAL',2.48 วินาที,2.477487087249756
196,มีสายการบินกี่แห่งจากสหรัฐอเมริกา?,2.48 วินาที,2.4845759868621826
197,ส่งกลับจำนวนสายการบินในสหรัฐอเมริกา,2.44 วินาที,2.43896484375
198,สนามบินอัลตันตั้งอยู่ที่เมืองและประเทศใด,3.05 วินาที,3.0495729446411133
199,ระบุเมืองและประเทศสำหรับสนามบินอัลตัน,2.74 วินาที,2.742915153503418
200,ชื่อสนามบินของสนามบิน 'AKO' คืออะไร?,2.74 วินาที,2.7441699504852295
201,กลับชื่อสนามบินด้วยรหัส 'AKO',2.74 วินาที,2.7436180114746094
202,ชื่อสนามบินใน City 'Aberdeen' คืออะไร?,2.61 วินาที,2.613806962966919
203,ชื่อสนามบินใน อเบอร์ดีน คืออะไร?,2.61 วินาที,2.6113598346710205
204,มีเที่ยวบินกี่เที่ยวที่ออกจาก 'APG',2.73 วินาที,2.732707977294922
205,นับจำนวนเที่ยวบินที่ออกเดินทางจาก 'APG',2.80 วินาที,2.800818920135498
206,ATO มีจุดหมายปลายทางกี่เที่ยวบิน?,2.61 วินาที,2.611401081085205
207,นับจำนวนเที่ยวบินเข้า ATO,2.60 วินาที,2.5996053218841553
208,มีเที่ยวบินที่เดินทางออกจากซิตี้ อเบอร์ดีน กี่เที่ยว?,2.77 วินาที,2.767727851867676
209,กลับจำนวนเที่ยวบินที่ออกเดินทางจากอเบอร์ดีน,2.86 วินาที,2.8640878200531006
210,มีเที่ยวบินที่มาถึงเมืองอเบอร์ดีนกี่เที่ยว?,4.15 วินาที,4.147664308547974
211,ส่งกลับจำนวนเที่ยวบินที่มาถึงอเบอร์ดีน,2.77 วินาที,2.768449068069458
212,มีเที่ยวบินที่เดินทางออกจากเมือง 'แอเบอร์ดีน' และมีเมืองปลายทาง 'แอชลีย์' กี่เที่ยวบิน?,7.47 วินาที,7.473278999328613
213,จากแอเบอร์ดีนไปแอชลีย์มีบินกี่เที่ยวบิน?,3.86 วินาที,3.856294870376587
214,สายการบิน 'เจ็ทบลูแอร์เวย์' มีกี่เที่ยวบิน?,3.71 วินาที,3.7145330905914307
